#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.026714914	18	3	2021	12	38	28.169	2500958.355	1117448.120	384.154
2459292.026715643	18	3	2021	12	38	28.232	2500958.651	1117448.027	384.151
2459292.026716546	18	3	2021	12	38	28.310	2500959.150	1117447.867	384.163
2459292.026717264	18	3	2021	12	38	28.372	2500959.421	1117447.775	384.159
2459292.026717762	18	3	2021	12	38	28.415	2500959.923	1117447.608	384.162
2459292.026718491	18	3	2021	12	38	28.478	2500960.422	1117447.401	384.169
2459292.026719717	18	3	2021	12	38	28.584	2500960.936	1117447.270	384.174
2459292.026720458	18	3	2021	12	38	28.648	2500961.191	1117447.190	384.177
2459292.026721002	18	3	2021	12	38	28.695	2500961.429	1117447.110	384.176
2459292.026721859	18	3	2021	12	38	28.769	2500961.942	1117446.940	384.183
2459292.026722576	18	3	2021	12	38	28.831	2500962.195	1117446.859	384.188
2459292.026723306	18	3	2021	12	38	28.894	2500962.674	1117446.704	384.192
2459292.026723850	18	3	2021	12	38	28.941	2500962.927	1117446.625	384.189
2459292.026724718	18	3	2021	12	38	29.016	2500963.431	1117446.459	384.195
2459292.026725643	18	3	2021	12	38	29.096	2500964.317	1117446.191	384.190
2459292.026727032	18	3	2021	12	38	29.216	2500964.562	1117446.114	384.197
2459292.026727588	18	3	2021	12	38	29.264	2500964.828	1117446.026	384.202
2459292.026728398	18	3	2021	12	38	29.334	2500965.082	1117445.957	384.208
2459292.026728988	18	3	2021	12	38	29.385	2500965.550	1117445.815	384.207
2459292.026729729	18	3	2021	12	38	29.449	2500965.796	1117445.723	384.202
2459292.026730261	18	3	2021	12	38	29.495	2500966.270	1117445.602	384.215
2459292.026731118	18	3	2021	12	38	29.569	2500966.456	1117445.542	384.217
2459292.026731836	18	3	2021	12	38	29.631	2500966.678	1117445.460	384.215
2459292.026732484	18	3	2021	12	38	29.687	2500967.136	1117445.325	384.219
2459292.026733028	18	3	2021	12	38	29.734	2500967.370	1117445.262	384.215
2459292.026733976	18	3	2021	12	38	29.816	2500967.795	1117445.131	384.215
2459292.026734520	18	3	2021	12	38	29.863	2500967.997	1117445.076	384.206
2459292.026735238	18	3	2021	12	38	29.925	2500968.464	1117444.909	384.216
2459292.026736292	18	3	2021	12	38	30.016	2500968.955	1117444.786	384.211
2459292.026737009	18	3	2021	12	38	30.078	2500969.175	1117444.723	384.206
2459292.026737553	18	3	2021	12	38	30.125	2500969.378	1117444.662	384.225
2459292.026738247	18	3	2021	12	38	30.185	2500969.830	1117444.542	384.224
2459292.026738791	18	3	2021	12	38	30.232	2500970.070	1117444.476	384.224
2459292.026739509	18	3	2021	12	38	30.294	2500970.530	1117444.354	384.225
2459292.026740377	18	3	2021	12	38	30.369	2500970.744	1117444.293	384.227
2459292.026741094	18	3	2021	12	38	30.431	2500971.167	1117444.185	384.234
2459292.026741824	18	3	2021	12	38	30.494	2500971.423	1117444.112	384.236
2459292.026742472	18	3	2021	12	38	30.550	2500971.650	1117444.051	384.238
2459292.026743051	18	3	2021	12	38	30.600	2500972.061	1117443.943	384.236
2459292.026743606	18	3	2021	12	38	30.648	2500972.289	1117443.889	384.245
2459292.026744520	18	3	2021	12	38	30.727	2500972.711	1117443.781	384.245
2459292.026745181	18	3	2021	12	38	30.784	2500972.920	1117443.728	384.241
2459292.026745910	18	3	2021	12	38	30.847	2500973.348	1117443.616	384.239
2459292.026746454	18	3	2021	12	38	30.894	2500973.547	1117443.566	384.248
2459292.026747136	18	3	2021	12	38	30.953	2500973.992	1117443.460	384.257
2459292.026748039	18	3	2021	12	38	31.031	2500974.192	1117443.405	384.250
2459292.026748583	18	3	2021	12	38	31.078	2500974.661	1117443.295	384.260
2459292.026749127	18	3	2021	12	38	31.125	2500974.854	1117443.248	384.265
2459292.026749821	18	3	2021	12	38	31.185	2500975.047	1117443.196	384.263
2459292.026750539	18	3	2021	12	38	31.247	2500975.481	1117443.093	384.268
2459292.026751268	18	3	2021	12	38	31.310	2500975.927	1117442.988	384.267
2459292.026751986	18	3	2021	12	38	31.372	2500976.125	1117442.939	384.264
2459292.026752495	18	3	2021	12	38	31.416	2500976.338	1117442.890	384.263
2459292.026753213	18	3	2021	12	38	31.478	2500976.756	1117442.784	384.274
2459292.026753942	18	3	2021	12	38	31.541	2500976.966	1117442.735	384.262
2459292.026754625	18	3	2021	12	38	31.600	2500977.397	1117442.641	384.272
2459292.026755169	18	3	2021	12	38	31.647	2500977.598	1117442.594	384.276
2459292.026756083	18	3	2021	12	38	31.726	2500978.033	1117442.490	384.264
2459292.026756939	18	3	2021	12	38	31.800	2500978.242	1117442.450	384.264
2459292.026757483	18	3	2021	12	38	31.847	2500978.566	1117442.371	384.268
2459292.026757970	18	3	2021	12	38	31.889	2500979.689	1117442.112	384.275
2459292.026760342	18	3	2021	12	38	32.094	2500980.068	1117442.027	384.273
2459292.026761395	18	3	2021	12	38	32.185	2500980.466	1117441.929	384.289
2459292.026762298	18	3	2021	12	38	32.263	2500980.878	1117441.833	384.282
2459292.026763201	18	3	2021	12	38	32.341	2500981.187	1117441.769	384.277
2459292.026763884	18	3	2021	12	38	32.400	2500981.604	1117441.678	384.276
2459292.026764787	18	3	2021	12	38	32.478	2500982.018	1117441.584	384.289
2459292.026766199	18	3	2021	12	38	32.600	2500982.409	1117441.495	384.291
2459292.026766916	18	3	2021	12	38	32.662	2500982.783	1117441.424	384.285
2459292.026767460	18	3	2021	12	38	32.709	2500983.171	1117441.324	384.294
2459292.026768329	18	3	2021	12	38	32.784	2500983.575	1117441.240	384.299
2459292.026768873	18	3	2021	12	38	32.831	2500983.945	1117441.154	384.298
2459292.026769775	18	3	2021	12	38	32.909	2500984.329	1117441.058	384.298
2459292.026771014	18	3	2021	12	38	33.016	2500984.725	1117440.980	384.292
2459292.026771731	18	3	2021	12	38	33.078	2500985.122	1117440.883	384.291
2459292.026772460	18	3	2021	12	38	33.141	2500985.510	1117440.802	384.299
2459292.026773328	18	3	2021	12	38	33.216	2500985.898	1117440.707	384.312
2459292.026774150	18	3	2021	12	38	33.287	2500986.293	1117440.618	384.310
2459292.026774902	18	3	2021	12	38	33.352	2500986.695	1117440.529	384.305
2459292.026775643	18	3	2021	12	38	33.416	2500987.103	1117440.470	384.313
2459292.026776765	18	3	2021	12	38	33.512	2500988.259	1117440.175	384.321
2459292.026779057	18	3	2021	12	38	33.711	2500988.647	1117440.089	384.315
2459292.026780088	18	3	2021	12	38	33.800	2500989.032	1117439.989	384.316
2459292.026780990	18	3	2021	12	38	33.878	2500989.464	1117439.895	384.318
2459292.026781720	18	3	2021	12	38	33.941	2500989.866	1117439.802	384.321
2459292.026782553	18	3	2021	12	38	34.013	2500991.059	1117439.538	384.318
2459292.026785076	18	3	2021	12	38	34.231	2500991.411	1117439.446	384.312
2459292.026785805	18	3	2021	12	38	34.294	2500991.828	1117439.351	384.317
2459292.026787217	18	3	2021	12	38	34.416	2500992.209	1117439.261	384.320
2459292.026787935	18	3	2021	12	38	34.478	2500992.618	1117439.163	384.310
2459292.026788629	18	3	2021	12	38	34.538	2500993.803	1117438.875	384.319
2459292.026790909	18	3	2021	12	38	34.735	2500994.178	1117438.778	384.318
2459292.026791836	18	3	2021	12	38	34.815	2500994.582	1117438.685	384.323
2459292.026792565	18	3	2021	12	38	34.878	2500994.944	1117438.593	384.321
2459292.026793433	18	3	2021	12	38	34.953	2500995.332	1117438.491	384.320
2459292.026794150	18	3	2021	12	38	35.015	2500995.683	1117438.396	384.312
2459292.026795065	18	3	2021	12	38	35.094	2500996.065	1117438.308	384.322
2459292.026795933	18	3	2021	12	38	35.169	2500996.472	1117438.198	384.324
2459292.026796836	18	3	2021	12	38	35.247	2500996.840	1117438.118	384.325
2459292.026797519	18	3	2021	12	38	35.306	2500997.576	1117437.909	384.322
2459292.026799336	18	3	2021	12	38	35.463	2500997.985	1117437.805	384.324
2459292.026799833	18	3	2021	12	38	35.506	2500998.350	1117437.711	384.325
2459292.026801107	18	3	2021	12	38	35.616	2500998.694	1117437.618	384.328
2459292.026801639	18	3	2021	12	38	35.662	2500999.072	1117437.515	384.330
2459292.026802368	18	3	2021	12	38	35.725	2500999.456	1117437.404	384.329
2459292.026803236	18	3	2021	12	38	35.800	2500999.809	1117437.315	384.334
2459292.026803965	18	3	2021	12	38	35.863	2501000.196	1117437.213	384.337
2459292.026804868	18	3	2021	12	38	35.941	2501000.543	1117437.115	384.329
2459292.026805366	18	3	2021	12	38	35.984	2501000.933	1117437.007	384.334
2459292.026806465	18	3	2021	12	38	36.079	2501001.303	1117436.902	384.339
2459292.026806963	18	3	2021	12	38	36.122	2501002.032	1117436.702	384.330
2459292.026808769	18	3	2021	12	38	36.278	2501002.733	1117436.499	384.334
2459292.026810354	18	3	2021	12	38	36.415	2501003.096	1117436.399	384.338
2459292.026811083	18	3	2021	12	38	36.478	2501003.421	1117436.303	384.340
2459292.026811986	18	3	2021	12	38	36.556	2501003.807	1117436.191	384.340
2459292.026812669	18	3	2021	12	38	36.615	2501004.139	1117436.101	384.344
2459292.026813398	18	3	2021	12	38	36.678	2501004.490	1117435.997	384.345
2459292.026814266	18	3	2021	12	38	36.753	2501004.833	1117435.898	384.349
2459292.026815713	18	3	2021	12	38	36.878	2501005.191	1117435.793	384.355
2459292.026816257	18	3	2021	12	38	36.925	2501005.537	1117435.686	384.359
2459292.026817125	18	3	2021	12	38	37.000	2501005.875	1117435.589	384.356
2459292.026817854	18	3	2021	12	38	37.063	2501006.240	1117435.481	384.354
2459292.026818572	18	3	2021	12	38	37.125	2501006.556	1117435.385	384.361
2459292.026819081	18	3	2021	12	38	37.169	2501006.879	1117435.288	384.365
2459292.026819810	18	3	2021	12	38	37.232	2501007.222	1117435.178	384.360
2459292.026820528	18	3	2021	12	38	37.294	2501007.566	1117435.079	384.367
2459292.026821395	18	3	2021	12	38	37.369	2501007.909	1117434.976	384.372
2459292.026822125	18	3	2021	12	38	37.432	2501008.235	1117434.883	384.375
2459292.026822993	18	3	2021	12	38	37.507	2501008.871	1117434.683	384.380
2459292.026824614	18	3	2021	12	38	37.647	2501009.178	1117434.589	384.374
2459292.026825516	18	3	2021	12	38	37.725	2501009.525	1117434.483	384.379
2459292.026826199	18	3	2021	12	38	37.784	2501009.831	1117434.388	384.383
2459292.026826928	18	3	2021	12	38	37.847	2501010.158	1117434.287	384.380
2459292.026828016	18	3	2021	12	38	37.941	2501010.483	1117434.183	384.377
2459292.026828699	18	3	2021	12	38	38.000	2501010.794	1117434.091	384.379
2459292.026829243	18	3	2021	12	38	38.047	2501011.117	1117433.993	384.379
2459292.026829926	18	3	2021	12	38	38.106	2501011.730	1117433.798	384.384
2459292.026831373	18	3	2021	12	38	38.231	2501012.015	1117433.705	384.385
2459292.026832276	18	3	2021	12	38	38.309	2501012.305	1117433.608	384.387
2459292.026833155	18	3	2021	12	38	38.385	2501012.615	1117433.511	384.385
2459292.026833687	18	3	2021	12	38	38.431	2501012.920	1117433.411	384.388
2459292.026834416	18	3	2021	12	38	38.494	2501013.226	1117433.321	384.392
