#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.956139070	18	3	2021	10	56	50.416	2501026.432	1117429.051	384.424
2459291.956139869	18	3	2021	10	56	50.485	2501026.433	1117429.052	384.429
2459291.956140841	18	3	2021	10	56	50.569	2501026.432	1117429.051	384.425
2459291.956141998	18	3	2021	10	56	50.669	2501026.433	1117429.054	384.420
2459291.956142774	18	3	2021	10	56	50.736	2501026.431	1117429.048	384.434
2459291.956143514	18	3	2021	10	56	50.800	2501026.431	1117429.049	384.433
2459291.956144058	18	3	2021	10	56	50.847	2501026.432	1117429.051	384.420
2459291.956144868	18	3	2021	10	56	50.917	2501026.433	1117429.052	384.428
2459291.956145656	18	3	2021	10	56	50.985	2501026.433	1117429.053	384.426
2459291.956147774	18	3	2021	10	56	51.168	2501026.433	1117429.052	384.421
2459291.956148711	18	3	2021	10	56	51.249	2501026.431	1117429.048	384.432
2459291.956149324	18	3	2021	10	56	51.302	2501026.432	1117429.051	384.430
2459291.956150100	18	3	2021	10	56	51.369	2501026.432	1117429.052	384.427
2459291.956150679	18	3	2021	10	56	51.419	2501026.432	1117429.050	384.423
2459291.956151396	18	3	2021	10	56	51.481	2501026.432	1117429.051	384.427
2459291.956152982	18	3	2021	10	56	51.618	2501026.432	1117429.050	384.428
2459291.956153757	18	3	2021	10	56	51.685	2501026.432	1117429.050	384.430
2459291.956154302	18	3	2021	10	56	51.732	2501026.432	1117429.052	384.425
2459291.956156038	18	3	2021	10	56	51.882	2501026.431	1117429.049	384.426
2459291.956156674	18	3	2021	10	56	51.937	2501026.432	1117429.050	384.432
2459291.956157647	18	3	2021	10	56	52.021	2501026.432	1117429.051	384.428
2459291.956158815	18	3	2021	10	56	52.122	2501026.432	1117429.049	384.429
2459291.956159533	18	3	2021	10	56	52.184	2501026.432	1117429.051	384.428
2459291.956160297	18	3	2021	10	56	52.250	2501026.432	1117429.050	384.430
2459291.956160876	18	3	2021	10	56	52.300	2501026.431	1117429.049	384.428
2459291.956161837	18	3	2021	10	56	52.383	2501026.432	1117429.052	384.428
2459291.956162450	18	3	2021	10	56	52.436	2501026.433	1117429.051	384.427
2459291.956163376	18	3	2021	10	56	52.516	2501026.432	1117429.049	384.424
2459291.956164730	18	3	2021	10	56	52.633	2501026.431	1117429.048	384.427
2459291.956165262	18	3	2021	10	56	52.679	2501026.431	1117429.049	384.429
2459291.956166304	18	3	2021	10	56	52.769	2501026.431	1117429.048	384.430
2459291.956166836	18	3	2021	10	56	52.815	2501026.431	1117429.047	384.428
2459291.956167670	18	3	2021	10	56	52.887	2501026.432	1117429.051	384.428
2459291.956168237	18	3	2021	10	56	52.936	2501026.432	1117429.051	384.428
2459291.956168978	18	3	2021	10	56	53.000	2501026.432	1117429.050	384.428
2459291.956169730	18	3	2021	10	56	53.065	2501026.431	1117429.048	384.429
2459291.956170470	18	3	2021	10	56	53.129	2501026.432	1117429.050	384.430
2459291.956171292	18	3	2021	10	56	53.200	2501026.431	1117429.048	384.430
2459291.956172635	18	3	2021	10	56	53.316	2501026.432	1117429.051	384.431
2459291.956173607	18	3	2021	10	56	53.400	2501026.431	1117429.046	384.432
2459291.956174151	18	3	2021	10	56	53.447	2501026.431	1117429.048	384.434
2459291.956174741	18	3	2021	10	56	53.498	2501026.432	1117429.049	384.428
2459291.956175748	18	3	2021	10	56	53.585	2501026.431	1117429.048	384.426
2459291.956176327	18	3	2021	10	56	53.635	2501026.432	1117429.050	384.429
2459291.956177056	18	3	2021	10	56	53.698	2501026.432	1117429.050	384.427
2459291.956177658	18	3	2021	10	56	53.750	2501026.431	1117429.048	384.427
2459291.956178434	18	3	2021	10	56	53.817	2501026.431	1117429.048	384.428
2459291.956179417	18	3	2021	10	56	53.902	2501026.431	1117429.047	384.426
2459291.956179973	18	3	2021	10	56	53.950	2501026.432	1117429.049	384.430
2459291.956180725	18	3	2021	10	56	54.015	2501026.431	1117429.049	384.430
2459291.956181524	18	3	2021	10	56	54.084	2501026.431	1117429.048	384.428
2459291.956182103	18	3	2021	10	56	54.134	2501026.431	1117429.048	384.426
2459291.956182866	18	3	2021	10	56	54.200	2501026.432	1117429.049	384.425
2459291.956183630	18	3	2021	10	56	54.266	2501026.431	1117429.048	384.431
2459291.956184186	18	3	2021	10	56	54.314	2501026.432	1117429.049	384.429
2459291.956185181	18	3	2021	10	56	54.400	2501026.431	1117429.048	384.431
2459291.956185772	18	3	2021	10	56	54.451	2501026.432	1117429.050	384.428
2459291.956186547	18	3	2021	10	56	54.518	2501026.432	1117429.049	384.426
2459291.956187496	18	3	2021	10	56	54.600	2501026.433	1117429.052	384.426
2459291.956188063	18	3	2021	10	56	54.649	2501026.432	1117429.049	384.428
2459291.956188642	18	3	2021	10	56	54.699	2501026.432	1117429.049	384.426
2459291.956189637	18	3	2021	10	56	54.785	2501026.431	1117429.049	384.430
2459291.956190204	18	3	2021	10	56	54.834	2501026.433	1117429.053	384.431
2459291.956191200	18	3	2021	10	56	54.920	2501026.431	1117429.048	384.429
2459291.956192542	18	3	2021	10	56	55.036	2501026.432	1117429.052	384.430
2459291.956193098	18	3	2021	10	56	55.084	2501026.432	1117429.049	384.427
2459291.956194059	18	3	2021	10	56	55.167	2501026.432	1117429.049	384.428
2459291.956194626	18	3	2021	10	56	55.216	2501026.432	1117429.050	384.429
2459291.956195389	18	3	2021	10	56	55.282	2501026.432	1117429.051	384.432
2459291.956195980	18	3	2021	10	56	55.333	2501026.433	1117429.053	384.428
2459291.956196755	18	3	2021	10	56	55.400	2501026.432	1117429.051	384.426
2459291.956197542	18	3	2021	10	56	55.468	2501026.432	1117429.050	384.427
2459291.956198109	18	3	2021	10	56	55.517	2501026.432	1117429.050	384.425
2459291.956199070	18	3	2021	10	56	55.600	2501026.431	1117429.048	384.426
2459291.956199602	18	3	2021	10	56	55.646	2501026.432	1117429.050	384.427
2459291.956200424	18	3	2021	10	56	55.717	2501026.433	1117429.054	384.427
2459291.956201211	18	3	2021	10	56	55.785	2501026.432	1117429.050	384.427
