#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459291.956029148	18	3	2021	10	56	40.918	2501012.299	1117433.606	384.396
2459291.956029912	18	3	2021	10	56	40.984	2501012.569	1117433.515	384.402
2459291.956030641	18	3	2021	10	56	41.047	2501012.845	1117433.433	384.400
2459291.956031359	18	3	2021	10	56	41.109	2501013.110	1117433.345	384.402
2459291.956032412	18	3	2021	10	56	41.200	2501013.399	1117433.259	384.400
2459291.956033141	18	3	2021	10	56	41.263	2501013.669	1117433.169	384.410
2459291.956033858	18	3	2021	10	56	41.325	2501013.939	1117433.086	384.398
2459291.956034726	18	3	2021	10	56	41.400	2501014.215	1117432.997	384.406
2459291.956035444	18	3	2021	10	56	41.462	2501014.491	1117432.928	384.401
2459291.956036127	18	3	2021	10	56	41.521	2501015.004	1117432.745	384.402
2459291.956037574	18	3	2021	10	56	41.646	2501015.273	1117432.661	384.407
2459291.956038373	18	3	2021	10	56	41.715	2501015.526	1117432.579	384.407
2459291.956039182	18	3	2021	10	56	41.785	2501015.777	1117432.496	384.408
2459291.956039726	18	3	2021	10	56	41.832	2501016.022	1117432.422	384.410
2459291.956040641	18	3	2021	10	56	41.911	2501016.284	1117432.335	384.410
2459291.956041543	18	3	2021	10	56	41.989	2501016.531	1117432.248	384.410
2459291.956042215	18	3	2021	10	56	42.047	2501016.789	1117432.170	384.411
2459291.956042944	18	3	2021	10	56	42.110	2501017.039	1117432.092	384.417
2459291.956043534	18	3	2021	10	56	42.161	2501017.281	1117432.015	384.413
2459291.956044345	18	3	2021	10	56	42.231	2501017.530	1117431.938	384.418
2459291.956045201	18	3	2021	10	56	42.305	2501018.012	1117431.784	384.419
2459291.956046659	18	3	2021	10	56	42.431	2501018.245	1117431.710	384.414
2459291.956047574	18	3	2021	10	56	42.510	2501018.471	1117431.634	384.415
2459291.956048071	18	3	2021	10	56	42.553	2501018.707	1117431.554	384.415
2459291.956048974	18	3	2021	10	56	42.631	2501018.934	1117431.491	384.420
2459291.956049541	18	3	2021	10	56	42.680	2501019.154	1117431.415	384.418
2459291.956050386	18	3	2021	10	56	42.753	2501019.373	1117431.349	384.416
2459291.956051474	18	3	2021	10	56	42.847	2501019.584	1117431.279	384.419
2459291.956052018	18	3	2021	10	56	42.894	2501019.815	1117431.205	384.420
2459291.956052748	18	3	2021	10	56	42.957	2501020.020	1117431.149	384.416
2459291.956053430	18	3	2021	10	56	43.016	2501020.230	1117431.065	384.418
2459291.956054333	18	3	2021	10	56	43.094	2501020.438	1117431.003	384.419
2459291.956054877	18	3	2021	10	56	43.141	2501020.637	1117430.941	384.427
2459291.956055734	18	3	2021	10	56	43.215	2501020.833	1117430.878	384.417
2459291.956056637	18	3	2021	10	56	43.293	2501021.027	1117430.815	384.417
2459291.956057181	18	3	2021	10	56	43.340	2501021.221	1117430.754	384.420
2459291.956057875	18	3	2021	10	56	43.400	2501021.410	1117430.692	384.418
2459291.956058778	18	3	2021	10	56	43.478	2501021.781	1117430.590	384.419
2459291.956060005	18	3	2021	10	56	43.584	2501022.303	1117430.407	384.420
2459291.956062505	18	3	2021	10	56	43.800	2501022.470	1117430.352	384.419
2459291.956063407	18	3	2021	10	56	43.878	2501022.634	1117430.302	384.419
2459291.956063951	18	3	2021	10	56	43.925	2501022.790	1117430.250	384.422
2459291.956064634	18	3	2021	10	56	43.984	2501022.952	1117430.199	384.422
2459291.956065363	18	3	2021	10	56	44.047	2501023.099	1117430.149	384.422
2459291.956066081	18	3	2021	10	56	44.109	2501023.259	1117430.099	384.424
2459291.956066949	18	3	2021	10	56	44.184	2501023.404	1117430.056	384.422
2459291.956067678	18	3	2021	10	56	44.247	2501023.560	1117430.003	384.431
2459291.956068222	18	3	2021	10	56	44.294	2501023.701	1117429.959	384.422
2459291.956069090	18	3	2021	10	56	44.369	2501023.844	1117429.910	384.424
2459291.956069808	18	3	2021	10	56	44.431	2501023.973	1117429.871	384.424
2459291.956070537	18	3	2021	10	56	44.494	2501024.109	1117429.824	384.423
