#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.026750758	18	3	2021	12	38	31.265	2500975.484	1117443.071	384.259
2459292.026751348	18	3	2021	12	38	31.316	2500975.907	1117442.964	384.261
2459292.026752136	18	3	2021	12	38	31.385	2500976.137	1117442.908	384.259
2459292.026752541	18	3	2021	12	38	31.420	2500976.351	1117442.869	384.268
2459292.026753524	18	3	2021	12	38	31.504	2500977.024	1117442.704	384.262
2459292.026754635	18	3	2021	12	38	31.600	2500977.400	1117442.623	384.255
2459292.026755191	18	3	2021	12	38	31.648	2500977.787	1117442.523	384.259
2459292.026756187	18	3	2021	12	38	31.735	2500978.158	1117442.441	384.262
2459292.026756962	18	3	2021	12	38	31.802	2500979.327	1117442.172	384.271
2459292.026759461	18	3	2021	12	38	32.017	2500979.732	1117442.061	384.271
2459292.026760411	18	3	2021	12	38	32.100	2500980.857	1117441.831	384.274
2459292.026880781	18	3	2021	12	38	42.499	2501025.342	1117429.410	384.414
2459292.026884265	18	3	2021	12	38	42.800	2501025.405	1117429.390	384.419
2459292.026885006	18	3	2021	12	38	42.865	2501025.467	1117429.376	384.415
2459292.026886580	18	3	2021	12	38	43.001	2501025.521	1117429.356	384.418
2459292.026887367	18	3	2021	12	38	43.069	2501025.569	1117429.340	384.423
2459292.026888154	18	3	2021	12	38	43.137	2501025.615	1117429.327	384.421
2459292.026888710	18	3	2021	12	38	43.185	2501025.656	1117429.312	384.417
2459292.026888894	18	3	2021	12	38	43.200	2501025.694	1117429.303	384.416
2459292.026889462	18	3	2021	12	38	43.250	2501025.727	1117429.291	384.420
2459292.026890445	18	3	2021	12	38	43.334	2501025.757	1117429.279	384.418
2459292.026891035	18	3	2021	12	38	43.385	2501025.780	1117429.268	384.417
2459292.026891800	18	3	2021	12	38	43.452	2501025.801	1117429.265	384.419
2459292.026892552	18	3	2021	12	38	43.517	2501025.817	1117429.258	384.419
2459292.026893165	18	3	2021	12	38	43.569	2501025.830	1117429.255	384.414
2459292.026894080	18	3	2021	12	38	43.649	2501025.841	1117429.256	384.421
2459292.026894704	18	3	2021	12	38	43.702	2501025.850	1117429.252	384.415
2459292.026895434	18	3	2021	12	38	43.766	2501025.855	1117429.248	384.416
2459292.026896024	18	3	2021	12	38	43.816	2501025.861	1117429.247	384.418
2459292.026896799	18	3	2021	12	38	43.883	2501025.864	1117429.244	384.416
2459292.026897586	18	3	2021	12	38	43.951	2501025.867	1117429.241	384.415
2459292.026898350	18	3	2021	12	38	44.017	2501025.870	1117429.245	384.414
2459292.026898917	18	3	2021	12	38	44.066	2501025.871	1117429.249	384.422
2459292.026899704	18	3	2021	12	38	44.134	2501025.868	1117429.244	384.416
2459292.026900468	18	3	2021	12	38	44.200	2501025.865	1117429.242	384.421
2459292.026901024	18	3	2021	12	38	44.248	2501025.863	1117429.245	384.421
2459292.026902007	18	3	2021	12	38	44.333	2501025.861	1117429.249	384.416
2459292.026902598	18	3	2021	12	38	44.384	2501025.858	1117429.245	384.419
