#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.158173105	18	3	2021	15	47	46.156	2501025.877	1117429.243	384.430
2459292.158173441	18	3	2021	15	47	46.185	2501025.878	1117429.246	384.426
2459292.158174344	18	3	2021	15	47	46.263	2501025.878	1117429.245	384.431
2459292.158174911	18	3	2021	15	47	46.312	2501025.879	1117429.248	384.429
2459292.158175756	18	3	2021	15	47	46.385	2501025.878	1117429.245	384.431
2459292.158176473	18	3	2021	15	47	46.447	2501025.878	1117429.244	384.430
2459292.158177214	18	3	2021	15	47	46.511	2501025.878	1117429.243	384.429
2459292.158177885	18	3	2021	15	47	46.569	2501025.878	1117429.245	384.431
2459292.158178649	18	3	2021	15	47	46.635	2501025.878	1117429.245	384.427
2459292.158179228	18	3	2021	15	47	46.685	2501025.878	1117429.245	384.432
2459292.158179992	18	3	2021	15	47	46.751	2501025.878	1117429.243	384.430
2459292.158180756	18	3	2021	15	47	46.817	2501025.878	1117429.244	384.428
2459292.158181334	18	3	2021	15	47	46.867	2501025.878	1117429.245	384.433
2459292.158182307	18	3	2021	15	47	46.951	2501025.878	1117429.243	384.430
2459292.158182874	18	3	2021	15	47	47.000	2501025.877	1117429.241	384.431
2459292.158183603	18	3	2021	15	47	47.063	2501025.878	1117429.245	384.430
2459292.158184251	18	3	2021	15	47	47.119	2501025.878	1117429.244	384.431
2459292.158185501	18	3	2021	15	47	47.227	2501025.877	1117429.243	384.429
2459292.158186635	18	3	2021	15	47	47.325	2501025.877	1117429.242	384.428
2459292.158187145	18	3	2021	15	47	47.369	2501025.877	1117429.242	384.428
2459292.158187932	18	3	2021	15	47	47.437	2501025.878	1117429.245	384.428
2459292.158188684	18	3	2021	15	47	47.502	2501025.878	1117429.244	384.427
2459292.158189448	18	3	2021	15	47	47.568	2501025.878	1117429.244	384.431
2459292.158190212	18	3	2021	15	47	47.634	2501025.878	1117429.244	384.429
2459292.158190941	18	3	2021	15	47	47.697	2501025.877	1117429.243	384.427
2459292.158191578	18	3	2021	15	47	47.752	2501025.878	1117429.245	384.427
2459292.158192399	18	3	2021	15	47	47.823	2501025.878	1117429.243	384.428
2459292.158193048	18	3	2021	15	47	47.879	2501025.878	1117429.243	384.429
2459292.158194645	18	3	2021	15	47	48.017	2501025.877	1117429.240	384.430
2459292.158195258	18	3	2021	15	47	48.070	2501025.877	1117429.242	384.430
2459292.158196068	18	3	2021	15	47	48.140	2501025.879	1117429.247	384.427
2459292.158196636	18	3	2021	15	47	48.189	2501025.878	1117429.245	384.429
2459292.158196763	18	3	2021	15	47	48.200	2501025.877	1117429.240	384.430
2459292.158197619	18	3	2021	15	47	48.274	2501025.877	1117429.243	384.431
2459292.158199599	18	3	2021	15	47	48.445	2501025.877	1117429.243	384.430
2459292.158200548	18	3	2021	15	47	48.527	2501025.877	1117429.240	384.433
2459292.158201254	18	3	2021	15	47	48.588	2501025.879	1117429.247	384.430
2459292.158201034	18	3	2021	15	47	48.569	2501025.877	1117429.243	384.428
2459292.158201693	18	3	2021	15	47	48.626	2501025.877	1117429.241	384.430
2459292.158202584	18	3	2021	15	47	48.703	2501025.878	1117429.245	384.428
2459292.158203892	18	3	2021	15	47	48.816	2501025.878	1117429.244	384.426
2459292.158204795	18	3	2021	15	47	48.894	2501025.877	1117429.242	384.427
2459292.158205258	18	3	2021	15	47	48.934	2501025.878	1117429.245	384.427
2459292.158206415	18	3	2021	15	47	49.034	2501025.878	1117429.244	384.425
2459292.158206994	18	3	2021	15	47	49.084	2501025.878	1117429.245	384.424
2459292.158207897	18	3	2021	15	47	49.162	2501025.878	1117429.243	384.428
2459292.158208510	18	3	2021	15	47	49.215	2501025.878	1117429.245	384.424
2459292.158210246	18	3	2021	15	47	49.365	2501025.877	1117429.242	384.433
2459292.158211635	18	3	2021	15	47	49.485	2501025.878	1117429.245	384.430
2459292.158212990	18	3	2021	15	47	49.602	2501025.878	1117429.244	384.426
2459292.158213626	18	3	2021	15	47	49.657	2501025.877	1117429.241	384.430
2459292.158214251	18	3	2021	15	47	49.711	2501025.878	1117429.245	384.425
2459292.158214888	18	3	2021	15	47	49.766	2501025.877	1117429.242	384.426
2459292.158215895	18	3	2021	15	47	49.853	2501025.878	1117429.242	384.427
2459292.158216450	18	3	2021	15	47	49.901	2501025.878	1117429.243	384.429
2459292.158217226	18	3	2021	15	47	49.968	2501025.879	1117429.248	384.426
2459292.158217411	18	3	2021	15	47	49.984	2501025.879	1117429.246	384.429
2459292.158218800	18	3	2021	15	47	50.104	2501025.878	1117429.244	384.429
2459292.158219367	18	3	2021	15	47	50.153	2501025.878	1117429.244	384.431
2459292.158219911	18	3	2021	15	47	50.200	2501025.878	1117429.245	384.430
2459292.158220686	18	3	2021	15	47	50.267	2501025.878	1117429.243	384.430
2459292.158222225	18	3	2021	15	47	50.400	2501025.878	1117429.244	384.429
2459292.158223151	18	3	2021	15	47	50.480	2501025.878	1117429.244	384.431
2459292.158223753	18	3	2021	15	47	50.532	2501025.878	1117429.244	384.429
2459292.158224564	18	3	2021	15	47	50.602	2501025.878	1117429.244	384.427
2459292.158224355	18	3	2021	15	47	50.584	2501025.878	1117429.245	384.426
2459292.158226115	18	3	2021	15	47	50.736	2501025.878	1117429.243	384.428
2459292.158227422	18	3	2021	15	47	50.849	2501025.879	1117429.248	384.429
2459292.158227978	18	3	2021	15	47	50.897	2501025.878	1117429.244	384.426
2459292.158228823	18	3	2021	15	47	50.970	2501025.879	1117429.248	384.429
2459292.158229644	18	3	2021	15	47	51.041	2501025.878	1117429.247	384.430
2459292.158230188	18	3	2021	15	47	51.088	2501025.878	1117429.245	384.429
