#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.089214467	18	3	2021	14	8	28.130	2500980.204	1117441.978	384.282
2459292.089215277	18	3	2021	14	8	28.200	2500980.668	1117441.859	384.286
2459292.089216307	18	3	2021	14	8	28.289	2500981.153	1117441.765	384.289
2459292.089217025	18	3	2021	14	8	28.351	2500981.603	1117441.674	384.295
2459292.089358599	18	3	2021	14	8	40.583	2501025.417	1117429.376	384.419
2459292.089362661	18	3	2021	14	8	40.934	2501025.417	1117429.377	384.419
2459292.089363564	18	3	2021	14	8	41.012	2501025.421	1117429.390	384.415
2459292.089363610	18	3	2021	14	8	41.016	2501025.420	1117429.386	384.419
2459292.089364178	18	3	2021	14	8	41.065	2501025.420	1117429.388	384.423
2459292.089365057	18	3	2021	14	8	41.141	2501025.420	1117429.387	384.417
2459292.089365370	18	3	2021	14	8	41.168	2501025.419	1117429.384	384.423
2459292.089366087	18	3	2021	14	8	41.230	2501025.419	1117429.383	384.418
2459292.089366701	18	3	2021	14	8	41.283	2501025.419	1117429.385	384.423
2459292.089367685	18	3	2021	14	8	41.368	2501025.420	1117429.387	384.425
2459292.089368275	18	3	2021	14	8	41.419	2501025.420	1117429.386	384.421
2459292.089369050	18	3	2021	14	8	41.486	2501025.420	1117429.386	384.417
2459292.089370370	18	3	2021	14	8	41.600	2501025.420	1117429.387	384.413
2459292.089371331	18	3	2021	14	8	41.683	2501025.420	1117429.388	384.416
2459292.089371874	18	3	2021	14	8	41.730	2501025.421	1117429.391	384.420
2459292.089372499	18	3	2021	14	8	41.784	2501025.420	1117429.387	384.418
2459292.089373298	18	3	2021	14	8	41.853	2501025.420	1117429.386	384.416
2459292.089374108	18	3	2021	14	8	41.923	2501025.420	1117429.386	384.419
2459292.089374640	18	3	2021	14	8	41.969	2501025.419	1117429.384	384.419
2459292.089375428	18	3	2021	14	8	42.037	2501025.420	1117429.386	384.415
2459292.089376157	18	3	2021	14	8	42.100	2501025.421	1117429.390	384.417
2459292.089376955	18	3	2021	14	8	42.169	2501025.421	1117429.389	384.418
2459292.089377522	18	3	2021	14	8	42.218	2501025.420	1117429.386	384.418
2459292.089378309	18	3	2021	14	8	42.286	2501025.420	1117429.387	384.417
2459292.089379062	18	3	2021	14	8	42.351	2501025.420	1117429.387	384.418
2459292.089379629	18	3	2021	14	8	42.400	2501025.420	1117429.386	384.421
2459292.089380590	18	3	2021	14	8	42.483	2501025.420	1117429.385	384.419
2459292.089381168	18	3	2021	14	8	42.533	2501025.420	1117429.387	384.419
2459292.089381944	18	3	2021	14	8	42.600	2501025.420	1117429.385	384.422
2459292.089382719	18	3	2021	14	8	42.667	2501025.419	1117429.383	384.421
2459292.089383495	18	3	2021	14	8	42.734	2501025.419	1117429.384	384.418
2459292.089384062	18	3	2021	14	8	42.783	2501025.418	1117429.382	384.421
2459292.089385022	18	3	2021	14	8	42.866	2501025.419	1117429.384	384.420
2459292.089385555	18	3	2021	14	8	42.912	2501025.420	1117429.387	384.423
2459292.089386400	18	3	2021	14	8	42.985	2501025.420	1117429.386	384.422
2459292.089386955	18	3	2021	14	8	43.033	2501025.419	1117429.382	384.424
2459292.089387720	18	3	2021	14	8	43.099	2501025.419	1117429.382	384.425
2459292.089388518	18	3	2021	14	8	43.168	2501025.419	1117429.384	384.422
2459292.089389293	18	3	2021	14	8	43.235	2501025.419	1117429.383	384.421
2459292.089389837	18	3	2021	14	8	43.282	2501025.420	1117429.387	384.417
2459292.089390844	18	3	2021	14	8	43.369	2501025.419	1117429.386	384.425
2459292.089391620	18	3	2021	14	8	43.436	2501025.420	1117429.386	384.423
2459292.089392175	18	3	2021	14	8	43.484	2501025.419	1117429.385	384.422
2459292.089392939	18	3	2021	14	8	43.550	2501025.420	1117429.387	384.423
2459292.089393518	18	3	2021	14	8	43.600	2501025.420	1117429.386	384.425
2459292.089394293	18	3	2021	14	8	43.667	2501025.419	1117429.384	384.422
2459292.089395046	18	3	2021	14	8	43.732	2501025.419	1117429.386	384.422
2459292.089395833	18	3	2021	14	8	43.800	2501025.419	1117429.385	384.425
2459292.089396550	18	3	2021	14	8	43.862	2501025.420	1117429.386	384.420
2459292.089398599	18	3	2021	14	8	44.039	2501025.421	1117429.389	384.418
2459292.089399745	18	3	2021	14	8	44.138	2501025.420	1117429.387	384.415
2459292.089400462	18	3	2021	14	8	44.200	2501025.420	1117429.386	384.419
2459292.089401608	18	3	2021	14	8	44.299	2501025.419	1117429.383	384.418
2459292.089402396	18	3	2021	14	8	44.367	2501025.420	1117429.386	384.422
2459292.089403368	18	3	2021	14	8	44.451	2501025.421	1117429.391	384.420
2459292.089403935	18	3	2021	14	8	44.500	2501025.419	1117429.386	384.428
2459292.089404722	18	3	2021	14	8	44.568	2501025.418	1117429.379	384.420
2459292.089405451	18	3	2021	14	8	44.631	2501025.420	1117429.388	384.424
2459292.089406262	18	3	2021	14	8	44.701	2501025.418	1117429.382	384.423
2459292.089407048	18	3	2021	14	8	44.769	2501025.421	1117429.390	384.422
2459292.089407581	18	3	2021	14	8	44.815	2501025.420	1117429.387	384.424
2459292.089408449	18	3	2021	14	8	44.890	2501025.419	1117429.383	384.423
2459292.089409224	18	3	2021	14	8	44.957	2501025.420	1117429.387	384.419
2459292.089409722	18	3	2021	14	8	45.000	2501025.419	1117429.385	384.424
2459292.089410486	18	3	2021	14	8	45.066	2501025.419	1117429.385	384.420
2459292.089411204	18	3	2021	14	8	45.128	2501025.419	1117429.387	384.425
2459292.089412037	18	3	2021	14	8	45.200	2501025.421	1117429.390	384.422
2459292.089412581	18	3	2021	14	8	45.247	2501025.420	1117429.388	384.419
2459292.089413391	18	3	2021	14	8	45.317	2501025.419	1117429.383	384.421
2459292.089414166	18	3	2021	14	8	45.384	2501025.418	1117429.381	384.420
2459292.089414745	18	3	2021	14	8	45.434	2501025.418	1117429.381	384.417
2459292.089415520	18	3	2021	14	8	45.501	2501025.420	1117429.387	384.421
2459292.089416308	18	3	2021	14	8	45.569	2501025.419	1117429.385	384.420
2459292.089417072	18	3	2021	14	8	45.635	2501025.420	1117429.386	384.424
2459292.089418009	18	3	2021	14	8	45.716	2501025.420	1117429.389	384.423
2459292.089419167	18	3	2021	14	8	45.816	2501025.419	1117429.384	384.423
2459292.089419942	18	3	2021	14	8	45.883	2501025.420	1117429.388	384.420
2459292.089420706	18	3	2021	14	8	45.949	2501025.420	1117429.387	384.426
2459292.089421296	18	3	2021	14	8	46.000	2501025.418	1117429.380	384.420
2459292.089422083	18	3	2021	14	8	46.068	2501025.418	1117429.381	384.416
2459292.089422812	18	3	2021	14	8	46.131	2501025.419	1117429.383	384.418
2459292.089423611	18	3	2021	14	8	46.200	2501025.419	1117429.383	384.418
