#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.158321398	18	3	2021	15	47	58.969	2501025.879	1117429.251	384.428
2459292.158322127	18	3	2021	15	47	59.032	2501025.879	1117429.250	384.429
2459292.158322845	18	3	2021	15	47	59.094	2501025.880	1117429.254	384.427
2459292.158323713	18	3	2021	15	47	59.169	2501025.879	1117429.250	384.430
2459292.158324430	18	3	2021	15	47	59.231	2501025.879	1117429.252	384.424
2459292.158325159	18	3	2021	15	47	59.294	2501025.879	1117429.251	384.426
2459292.158325877	18	3	2021	15	47	59.356	2501025.879	1117429.251	384.428
2459292.158326571	18	3	2021	15	47	59.416	2501025.880	1117429.253	384.424
2459292.158327381	18	3	2021	15	47	59.486	2501025.879	1117429.251	384.428
2459292.158328110	18	3	2021	15	47	59.549	2501025.880	1117429.253	384.425
2459292.158328701	18	3	2021	15	47	59.600	2501025.880	1117429.254	384.428
2459292.158329418	18	3	2021	15	47	59.662	2501025.879	1117429.251	384.425
2459292.158330148	18	3	2021	15	47	59.725	2501025.880	1117429.254	384.429
2459292.158331016	18	3	2021	15	47	59.800	2501025.880	1117429.253	384.424
2459292.158331745	18	3	2021	15	47	59.863	2501025.880	1117429.253	384.427
2459292.158332647	18	3	2021	15	47	59.941	2501025.882	1117429.253	384.424
2459292.158333146	18	3	2021	15	47	59.984	2501025.885	1117429.254	384.431
2459292.158333875	18	3	2021	15	48	0.047	2501025.891	1117429.254	384.429
2459292.158334557	18	3	2021	15	48	0.106	2501025.903	1117429.245	384.430
2459292.158336015	18	3	2021	15	48	0.232	2501025.911	1117429.243	384.427
2459292.158336918	18	3	2021	15	48	0.310	2501025.924	1117429.242	384.430
2459292.158337231	18	3	2021	15	48	0.337	2501025.937	1117429.235	384.426
2459292.158338133	18	3	2021	15	48	0.415	2501025.954	1117429.230	384.427
2459292.158338700	18	3	2021	15	48	0.464	2501025.972	1117429.225	384.427
2459292.158339418	18	3	2021	15	48	0.526	2501025.992	1117429.216	384.428
2459292.158340275	18	3	2021	15	48	0.600	2501026.016	1117429.211	384.425
2459292.158340992	18	3	2021	15	48	0.662	2501026.040	1117429.198	384.428
2459292.158341710	18	3	2021	15	48	0.724	2501026.069	1117429.192	384.428
2459292.158342405	18	3	2021	15	48	0.784	2501026.101	1117429.182	384.429
2459292.158343134	18	3	2021	15	48	0.847	2501026.133	1117429.171	384.430
2459292.158343852	18	3	2021	15	48	0.909	2501026.170	1117429.162	384.432
2459292.158344719	18	3	2021	15	48	0.984	2501026.209	1117429.148	384.431
2459292.158345622	18	3	2021	15	48	1.062	2501026.252	1117429.134	384.428
2459292.158346131	18	3	2021	15	48	1.106	2501026.348	1117429.103	384.431
2459292.158347578	18	3	2021	15	48	1.231	2501026.397	1117429.087	384.434
2459292.158348585	18	3	2021	15	48	1.318	2501026.457	1117429.068	384.433
2459292.158348816	18	3	2021	15	48	1.338	2501026.514	1117429.048	384.435
2459292.158349731	18	3	2021	15	48	1.417	2501026.577	1117429.029	384.434
2459292.158350460	18	3	2021	15	48	1.480	2501026.640	1117429.005	384.433
2459292.158351177	18	3	2021	15	48	1.542	2501026.709	1117428.984	384.434
2459292.158352034	18	3	2021	15	48	1.616	2501026.780	1117428.959	384.436
2459292.158352566	18	3	2021	15	48	1.662	2501026.862	1117428.937	384.428
2459292.158353481	18	3	2021	15	48	1.741	2501026.940	1117428.910	384.427
2459292.158354164	18	3	2021	15	48	1.800	2501027.028	1117428.881	384.432
2459292.158354893	18	3	2021	15	48	1.863	2501027.115	1117428.853	384.430
2459292.158355576	18	3	2021	15	48	1.922	2501027.302	1117428.792	384.432
2459292.158357022	18	3	2021	15	48	2.047	2501027.406	1117428.757	384.432
2459292.158357752	18	3	2021	15	48	2.110	2501027.515	1117428.725	384.429
2459292.158358620	18	3	2021	15	48	2.185	2501027.620	1117428.692	384.432
2459292.158359152	18	3	2021	15	48	2.231	2501027.734	1117428.655	384.433
2459292.158359881	18	3	2021	15	48	2.294	2501027.856	1117428.615	384.432
2459292.158360738	18	3	2021	15	48	2.368	2501027.979	1117428.571	384.435
2459292.158361467	18	3	2021	15	48	2.431	2501028.107	1117428.531	384.430
2459292.158362196	18	3	2021	15	48	2.494	2501028.240	1117428.487	384.435
2459292.158362914	18	3	2021	15	48	2.556	2501028.377	1117428.445	384.432
2459292.158363608	18	3	2021	15	48	2.616	2501028.522	1117428.396	384.435
2459292.158364325	18	3	2021	15	48	2.678	2501028.668	1117428.351	384.433
2459292.158365055	18	3	2021	15	48	2.741	2501028.818	1117428.300	384.436
2459292.158365923	18	3	2021	15	48	2.816	2501028.977	1117428.255	384.439
2459292.158366467	18	3	2021	15	48	2.863	2501029.134	1117428.203	384.436
2459292.158367184	18	3	2021	15	48	2.925	2501029.303	1117428.146	384.439
2459292.158367879	18	3	2021	15	48	2.985	2501029.468	1117428.093	384.436
2459292.158368596	18	3	2021	15	48	3.047	2501029.642	1117428.037	384.440
2459292.158369314	18	3	2021	15	48	3.109	2501029.820	1117427.983	384.436
2459292.158370009	18	3	2021	15	48	3.169	2501030.009	1117427.923	384.439
2459292.158370726	18	3	2021	15	48	3.231	2501030.189	1117427.865	384.437
2459292.158371456	18	3	2021	15	48	3.294	2501030.393	1117427.802	384.439
2459292.158372312	18	3	2021	15	48	3.368	2501030.788	1117427.679	384.442
2459292.158373770	18	3	2021	15	48	3.494	2501030.998	1117427.614	384.441
2459292.158374395	18	3	2021	15	48	3.548	2501031.212	1117427.548	384.440
2459292.158374997	18	3	2021	15	48	3.600	2501031.427	1117427.476	384.443
2459292.158375737	18	3	2021	15	48	3.664	2501031.640	1117427.410	384.442
2459292.158376455	18	3	2021	15	48	3.726	2501031.871	1117427.338	384.446
2459292.158377312	18	3	2021	15	48	3.800	2501032.094	1117427.266	384.445
2459292.158378029	18	3	2021	15	48	3.862	2501032.323	1117427.196	384.443
2459292.158378758	18	3	2021	15	48	3.925	2501032.555	1117427.122	384.443
2459292.158379441	18	3	2021	15	48	3.984	2501032.794	1117427.049	384.441
2459292.158380344	18	3	2021	15	48	4.062	2501033.040	1117426.971	384.446
2459292.158380888	18	3	2021	15	48	4.109	2501033.291	1117426.896	384.444
2459292.158381583	18	3	2021	15	48	4.169	2501033.550	1117426.808	384.447
2459292.158382300	18	3	2021	15	48	4.231	2501033.792	1117426.733	384.445
2459292.158383030	18	3	2021	15	48	4.294	2501034.058	1117426.649	384.444
2459292.158383747	18	3	2021	15	48	4.356	2501034.325	1117426.562	384.450
2459292.158384441	18	3	2021	15	48	4.416	2501034.848	1117426.390	384.462
2459292.158385888	18	3	2021	15	48	4.541	2501035.120	1117426.305	384.445
2459292.158386571	18	3	2021	15	48	4.600	2501035.387	1117426.219	384.449
2459292.158387288	18	3	2021	15	48	4.662	2501035.640	1117426.135	384.443
2459292.158388018	18	3	2021	15	48	4.725	2501035.924	1117426.045	384.447
2459292.158388886	18	3	2021	15	48	4.800	2501036.214	1117425.950	384.449
2459292.158389430	18	3	2021	15	48	4.847	2501036.488	1117425.864	384.446
2459292.158390240	18	3	2021	15	48	4.917	2501036.761	1117425.778	384.447
2459292.158390841	18	3	2021	15	48	4.969	2501037.052	1117425.686	384.446
2459292.158391397	18	3	2021	15	48	5.017	2501037.330	1117425.598	384.453
2459292.158392126	18	3	2021	15	48	5.080	2501037.639	1117425.506	384.448
2459292.158393029	18	3	2021	15	48	5.158	2501037.919	1117425.419	384.455
2459292.158393688	18	3	2021	15	48	5.215	2501038.213	1117425.328	384.449
2459292.158394418	18	3	2021	15	48	5.278	2501038.503	1117425.235	384.451
2459292.158395135	18	3	2021	15	48	5.340	2501038.804	1117425.145	384.450
2459292.158395830	18	3	2021	15	48	5.400	2501039.107	1117425.055	384.452
2459292.158396374	18	3	2021	15	48	5.447	2501039.737	1117424.862	384.452
2459292.158397960	18	3	2021	15	48	5.584	2501040.044	1117424.768	384.453
2459292.158398503	18	3	2021	15	48	5.631	2501040.336	1117424.678	384.451
2459292.158399233	18	3	2021	15	48	5.694	2501040.647	1117424.581	384.452
2459292.158399916	18	3	2021	15	48	5.753	2501040.963	1117424.481	384.455
2459292.158400819	18	3	2021	15	48	5.831	2501041.259	1117424.391	384.457
2459292.158401363	18	3	2021	15	48	5.878	2501041.592	1117424.285	384.458
2459292.158401906	18	3	2021	15	48	5.925	2501041.915	1117424.185	384.459
2459292.158402601	18	3	2021	15	48	5.985	2501042.231	1117424.083	384.463
2459292.158403318	18	3	2021	15	48	6.047	2501042.858	1117423.885	384.460
2459292.158404731	18	3	2021	15	48	6.169	2501043.192	1117423.786	384.468
2459292.158405275	18	3	2021	15	48	6.216	2501043.514	1117423.676	384.468
2459292.158406097	18	3	2021	15	48	6.287	2501043.803	1117423.583	384.469
2459292.158406629	18	3	2021	15	48	6.333	2501044.140	1117423.481	384.469
2459292.158407405	18	3	2021	15	48	6.400	2501044.780	1117423.280	384.473
2459292.158409037	18	3	2021	15	48	6.541	2501045.104	1117423.179	384.475
2459292.158409546	18	3	2021	15	48	6.585	2501045.745	1117422.986	384.478
2459292.158410807	18	3	2021	15	48	6.694	2501046.088	1117422.879	384.483
2459292.158411664	18	3	2021	15	48	6.768	2501046.432	1117422.774	384.485
2459292.158412393	18	3	2021	15	48	6.831	2501046.739	1117422.678	384.489
2459292.158412937	18	3	2021	15	48	6.878	2501047.071	1117422.574	384.492
2459292.158413481	18	3	2021	15	48	6.925	2501047.381	1117422.477	384.496
2459292.158414164	18	3	2021	15	48	6.984	2501047.743	1117422.369	384.498
2459292.158414893	18	3	2021	15	48	7.047	2501048.043	1117422.272	384.499
2459292.158415610	18	3	2021	15	48	7.109	2501048.373	1117422.172	384.505
2459292.158416154	18	3	2021	15	48	7.156	2501048.692	1117422.076	384.505
2459292.158416849	18	3	2021	15	48	7.216	2501049.034	1117421.967	384.510
2459292.158417659	18	3	2021	15	48	7.286	2501049.666	1117421.774	384.517
2459292.158418793	18	3	2021	15	48	7.384	2501050.014	1117421.664	384.524
2459292.158419511	18	3	2021	15	48	7.446	2501050.669	1117421.466	384.524
2459292.158420599	18	3	2021	15	48	7.540	2501050.984	1117421.369	384.523
2459292.158421478	18	3	2021	15	48	7.616	2501051.310	1117421.268	384.528
2459292.158422115	18	3	2021	15	48	7.671	2501051.657	1117421.163	384.531
2459292.158422659	18	3	2021	15	48	7.718	2501051.983	1117421.064	384.534
2459292.158423249	18	3	2021	15	48	7.769	2501052.310	1117420.965	384.537
2459292.158423793	18	3	2021	15	48	7.816	2501052.648	1117420.864	384.538
2459292.158424511	18	3	2021	15	48	7.878	2501052.988	1117420.760	384.538
2459292.158425379	18	3	2021	15	48	7.953	2501053.329	1117420.663	384.543
2459292.158426282	18	3	2021	15	48	8.031	2501053.988	1117420.461	384.549
2459292.158427369	18	3	2021	15	48	8.125	2501054.327	1117420.361	384.552
2459292.158427879	18	3	2021	15	48	8.169	2501054.669	1117420.257	384.550
2459292.158428608	18	3	2021	15	48	8.232	2501054.983	1117420.162	384.557
2459292.158429152	18	3	2021	15	48	8.279	2501055.308	1117420.065	384.556
2459292.158429870	18	3	2021	15	48	8.341	2501055.633	1117419.966	384.553
2459292.158430738	18	3	2021	15	48	8.416	2501055.990	1117419.856	384.560
2459292.158431270	18	3	2021	15	48	8.462	2501056.323	1117419.746	384.556
2459292.158431814	18	3	2021	15	48	8.509	2501056.652	1117419.653	384.562
2459292.158432508	18	3	2021	15	48	8.569	2501056.973	1117419.556	384.563
2459292.158433226	18	3	2021	15	48	8.631	2501057.294	1117419.457	384.566
2459292.158433770	18	3	2021	15	48	8.678	2501057.638	1117419.352	384.575
2459292.158434499	18	3	2021	15	48	8.741	2501057.977	1117419.245	384.569
2459292.158434997	18	3	2021	15	48	8.784	2501058.308	1117419.145	384.572
2459292.158435541	18	3	2021	15	48	8.831	2501058.643	1117419.043	384.574
2459292.158436270	18	3	2021	15	48	8.894	2501058.961	1117418.945	384.572
2459292.158436814	18	3	2021	15	48	8.941	2501059.290	1117418.847	384.577
2459292.158437323	18	3	2021	15	48	8.985	2501059.662	1117418.733	384.579
2459292.158438041	18	3	2021	15	48	9.047	2501059.995	1117418.634	384.582
2459292.158439094	18	3	2021	15	48	9.138	2501060.666	1117418.437	384.584
2459292.158440182	18	3	2021	15	48	9.232	2501060.989	1117418.337	384.586
