#Julian Date	Day	Month	Year	Hour	Minute	Second	East	North	Altitude
#[j]	[j]	[mois]	[année]	[h]	[min]	[s]	[m]	[m]	[m]
2459292.089431276	18	3	2021	14	8	46.862	2501025.429	1117429.429	384.421
2459292.089432005	18	3	2021	14	8	46.925	2501025.427	1117429.422	384.422
2459292.089432688	18	3	2021	14	8	46.984	2501025.427	1117429.422	384.419
2459292.089433417	18	3	2021	14	8	47.047	2501025.428	1117429.425	384.421
2459292.089434829	18	3	2021	14	8	47.169	2501025.427	1117429.421	384.421
2459292.089435547	18	3	2021	14	8	47.231	2501025.427	1117429.421	384.423
2459292.089436264	18	3	2021	14	8	47.293	2501025.428	1117429.423	384.416
2459292.089437144	18	3	2021	14	8	47.369	2501025.427	1117429.420	384.420
2459292.089437861	18	3	2021	14	8	47.431	2501025.427	1117429.419	384.415
2459292.089438591	18	3	2021	14	8	47.494	2501025.427	1117429.420	384.415
2459292.089439308	18	3	2021	14	8	47.556	2501025.426	1117429.417	384.411
2459292.089440003	18	3	2021	14	8	47.616	2501025.427	1117429.420	384.412
2459292.089440721	18	3	2021	14	8	47.678	2501025.426	1117429.415	384.415
2459292.089441543	18	3	2021	14	8	47.749	2501025.426	1117429.418	384.415
2459292.089442133	18	3	2021	14	8	47.800	2501025.427	1117429.420	384.414
2459292.089442862	18	3	2021	14	8	47.863	2501025.426	1117429.417	384.414
2459292.089443684	18	3	2021	14	8	47.934	2501025.425	1117429.414	384.419
2459292.089444251	18	3	2021	14	8	47.983	2501025.427	1117429.420	384.421
2459292.089444992	18	3	2021	14	8	48.047	2501025.427	1117429.421	384.415
2459292.089445709	18	3	2021	14	8	48.109	2501025.428	1117429.424	384.414
2459292.089446404	18	3	2021	14	8	48.169	2501025.428	1117429.424	384.410
2459292.089447122	18	3	2021	14	8	48.231	2501025.429	1117429.428	384.416
2459292.089447851	18	3	2021	14	8	48.294	2501025.428	1117429.426	384.417
2459292.089448719	18	3	2021	14	8	48.369	2501025.428	1117429.423	384.423
2459292.089449448	18	3	2021	14	8	48.432	2501025.427	1117429.422	384.418
2459292.089450166	18	3	2021	14	8	48.494	2501025.427	1117429.421	384.421
2459292.089450895	18	3	2021	14	8	48.557	2501025.428	1117429.422	384.416
2459292.089451578	18	3	2021	14	8	48.616	2501025.427	1117429.421	384.418
2459292.089452306	18	3	2021	14	8	48.679	2501025.427	1117429.419	384.421
2459292.089453024	18	3	2021	14	8	48.741	2501025.425	1117429.414	384.423
2459292.089453707	18	3	2021	14	8	48.800	2501025.427	1117429.421	384.423
2459292.089454425	18	3	2021	14	8	48.862	2501025.426	1117429.417	384.413
2459292.089455119	18	3	2021	14	8	48.922	2501025.427	1117429.421	384.411
2459292.089456554	18	3	2021	14	8	49.046	2501025.427	1117429.420	384.418
2459292.089457283	18	3	2021	14	8	49.109	2501025.427	1117429.421	384.417
2459292.089458163	18	3	2021	14	8	49.185	2501025.430	1117429.430	384.415
2459292.089458985	18	3	2021	14	8	49.256	2501025.427	1117429.420	384.423
2459292.089459714	18	3	2021	14	8	49.319	2501025.427	1117429.420	384.423
2459292.089460107	18	3	2021	14	8	49.353	2501025.428	1117429.424	384.421
2459292.089460825	18	3	2021	14	8	49.415	2501025.428	1117429.423	384.419
2459292.089461554	18	3	2021	14	8	49.478	2501025.428	1117429.424	384.421
2459292.089462272	18	3	2021	14	8	49.540	2501025.428	1117429.426	384.422
2459292.089463151	18	3	2021	14	8	49.616	2501025.429	1117429.427	384.419
2459292.089463869	18	3	2021	14	8	49.678	2501025.427	1117429.420	384.421
2459292.089464598	18	3	2021	14	8	49.741	2501025.427	1117429.422	384.421
2459292.089465466	18	3	2021	14	8	49.816	2501025.428	1117429.424	384.415
2459292.089466010	18	3	2021	14	8	49.863	2501025.428	1117429.424	384.421
2459292.089466844	18	3	2021	14	8	49.935	2501025.428	1117429.423	384.416
2459292.089467596	18	3	2021	14	8	50.000	2501025.428	1117429.424	384.423
2459292.089468325	18	3	2021	14	8	50.063	2501025.429	1117429.429	384.416
2459292.089469054	18	3	2021	14	8	50.126	2501025.429	1117429.426	384.419
2459292.089469737	18	3	2021	14	8	50.185	2501025.429	1117429.428	384.418
2459292.089470455	18	3	2021	14	8	50.247	2501025.430	1117429.432	384.417
